ISO3,Num_PAs
MAR,89
ABNJ,14
ABW,3
AFG,15
AGO,18
AIA,7
ALA,38
ALB,61
AND,11
ARE,61
ARG,405
ARM,36
ASM,19
ATA,13
ATF,5
ATG,18
AUS,11495
AUT,1657
AZE,35
BDI,14
BEL,2254
BEN,28
BES,14
BFA,110
BGD,51
BGR,1417
BHR,5
BHS,54
BIH,42
BLM,5
BLR,298
BLZ,120
BMU,40
BOL,156
BRA,2563
BRB,8
BRN,35
BTN,20
BVT,1
BWA,18
CAF,25
CAN,10738
CCK,3
CHE,10772
CHL,248
CHN,78
CIV,243
CMR,52
COD,50
COG,34
COK,11
COL,1330
COM,19
CPV,7
CRI,167
CUB,230
CUW,14
CXR,3
CYM,58
CYP,129
CZE,3899
DEU,23191
DJI,6
DMA,9
DNK,1087
DOM,135
DZA,71
ECU,80
EGY,47
ERI,11
ESP,4063
EST,18048
ETH,136
FIN,17799
FJI,123
FLK,33
FRA,6078
FRO,3
FSM,3
GAB,60
GBR,10902
GEO,95
GGY,4
GHA,286
GIN,117
GLP,85
GMB,24
GNB,24
GNQ,16
GRC,1289
GRD,49
GRL,26
GTM,350
GUF,39
GUM,13
GUY,6
HKG,20
HMD,1
HND,111
HRV,1115
HTI,27
HUN,889
IDN,688
IMN,39
IND,14
IOT,7
IRL,816
IRN,154
IRQ,23
ISL,146
ISR,313
ITA,3932
JAM,173
JEY,29
JOR,33
JPN,5598
KAZ,90
KEN,269
KGZ,30
KHM,68
KIR,2
KNA,10
KOR,3460
KWT,39
LAO,31
LBN,24
LBR,14
LCA,40
LIE,45
LKA,654
LSO,5
LTU,1059
LUX,271
LVA,1122
MAF,21
MCO,1
MDA,61
MDG,163
MDV,71
MEX,1185
MHL,14
MKD,76
MLI,136
MLT,335
MMR,53
MNE,17
MNG,115
MNP,32
MOZ,64
MRT,4
MSR,1
MTQ,72
MUS,35
MWI,57
MYS,485
MYT,29
NAM,148
NCL,83
NER,16
NFK,3
NGA,970
NIC,84
NIU,6
NLD,462
NOR,3867
NPL,38
NZL,10443
OMN,27
PAK,140
PAN,78
PCN,2
PER,269
PHL,265
PLW,64
PNG,55
POL,3097
PRI,107
PRT,460
PRY,98
PSE,28
PYF,1
QAT,12
REU,37
ROU,1554
RUS,7684
RWA,6
SAU,70
SDN,2
SEN,133
SGP,4
SGS,1
SHN,11
SJM,39
SLB,56
SLE,67
SLV,202
SPM,2
SRB,387
SSD,24
STP,5
SUR,21
SVK,1963
SVN,1407
SWE,30624
SWZ,14
SXM,3
SYC,49
TCA,31
TCD,16
TGO,69
THA,230
TJK,21
TKM,30
TLS,47
TON,50
TTO,41
TUN,136
TUR,16
TUV,18
TWN,92
TZA,864
UGA,702
UKR,1659
UMI,21
URY,22
USA,42768
UZB,38
VCT,39
VEN,290
VGB,88
VIR,45
VNM,188
VUT,13
WSM,23
YEM,1
ZAF,1668
ZMB,527
ZWE,208